,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
2126,17.0,9.97510910034,-43.5693740845,347.437744141,-43.0221786499,1.64039430971,1.77274465561,62.8953437805,0.438465476036,3657.47680664,12.9131746292,10.923002243,10.8292570114,9.78544139862,8.98941230774,4.0,20.7314682007,3.0,2.0,914.0,2.0
2127,17.0,9.69205570221,-46.6137084961,344.877838135,-45.4607810974,2.31001270181,16.4910449982,0.668737530708,0.178870633245,3234.0168457,16.4002170563,13.8779058456,13.7863550186,12.4793491364,11.7101745605,4.0,9.65244197845,3.34999990463,1.0,745.0,2.0
2280,17.0,358.196594238,-40.2818870544,339.888366699,-35.7074661255,6.53825984656,5.36682462692,127.781768799,0.798309743404,5176.06835938,13.7979059219,12.9038000107,12.9689998627,12.2550001144,11.75,2.0,15.6480131149,7.80000019073,1.0,864.0,3.0
2370,17.0,21.2437133789,-9.34141540527,15.9853687286,-16.9262542725,3.94114263705,11.6552286148,83.6128005981,0.859969973564,5821.03369141,12.2952890396,11.6140794754,11.6689996719,11.1149997711,10.7530002594,2.0,9.52449035645,7.09999990463,2.0,823.0,3.0
2510,17.0,32.4016799927,-17.3600387573,23.5094509125,-28.5023059845,19.0217531364,3.53032851219,843.572021484,1.08854651451,6486.34472656,13.3971986771,12.8805599213,12.9230003357,12.5030002594,12.2580003738,2.0,67.6114349365,9.25,0.0,549.0,3.0
2511,17.0,31.176864624,-17.0828418732,22.4045677185,-27.7976875305,1.8357659813,2.62418341637,20.4992866516,0.328538954258,3441.77832031,13.9808320999,11.7513561249,11.6516141891,10.495598793,9.72566795349,2.0,11.1784200668,2.90000009537,2.0,859.0,2.0
2604,17.0,36.8023872375,-25.2446651459,24.3316478729,-37.3602828979,2.32802409447,3.08600592613,7.72559261322,0.221822053194,3262.52416992,16.0213031769,13.5954694748,13.5000925064,12.2293558121,11.4821300507,2.0,11.4804458618,3.84999990463,2.0,19.0,2.0
2647,17.0,37.8502388,-29.5539264679,23.1380748749,-41.6716461182,21.5546385413,9.75911140442,88.3701858521,0.896010816097,5559.04101562,11.7250699997,10.9628400803,11.0220003128,10.4139995575,10.0080003738,2.0,429.328613281,6.40000009537,0.0,440.0,3.0
2706,17.0,33.8414115906,-34.38539505,16.0358009338,-44.5045204163,1.95557265791,4.07418441772,7.84297800064,0.257161557674,3364.8894043,12.3454637527,10.0370798111,9.93669128418,8.74875259399,7.99431085587,4.0,94.9474487305,0.550000011921,3.0,1002.0,2.0
2707,17.0,36.6226730347,-35.1675491333,18.4045028687,-46.2546539307,1.93038368303,1.92219543457,45.0356521606,0.397471904755,3566.00561523,13.5629806519,11.4699373245,11.3848018646,10.2829589844,9.49699687958,2.0,16.9995098114,3.20000004768,3.0,310.0,2.0
